"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2012","981.44","980.06","983.80","973.44","-","0.14%"
"May 23, 2012","980.06","977.66","981.37","962.65","-","0.25%"
"May 22, 2012","977.66","977.53","986.68","972.75","-","0.01%"
"May 21, 2012","977.53","960.83","977.78","960.83","-","1.74%"
"May 18, 2012","960.83","968.67","974.22","958.53","-","-0.81%"
"May 17, 2012","968.67","985.29","986.45","968.67","-","-1.69%"
"May 16, 2012","985.28","990.13","998.38","985.24","-","-0.49%"
"May 15, 2012","990.13","995.62","1,000.58","988.37","-","-0.55%"
"May 14, 2012","995.62","997.38","1,002.36","994.32","-","-1.16%"
"May 11, 2012","1,007.32","1,010.27","1,015.85","1,003.47","-","-0.29%"
"May 10, 2012","1,010.27","1,007.70","1,015.97","1,007.70","-","0.26%"
"May 09, 2012","1,007.70","1,014.30","1,014.30","998.69","-","-0.65%"
"May 08, 2012","1,014.30","1,018.40","1,018.40","1,001.56","-","-0.40%"
"May 07, 2012","1,018.40","1,017.69","1,021.49","1,014.02","-","0.07%"
"May 04, 2012","1,017.69","1,034.39","1,034.39","1,016.76","-","-1.62%"
"May 03, 2012","1,034.40","1,043.82","1,044.11","1,032.14","-","-0.90%"
"May 02, 2012","1,043.82","1,045.57","1,045.57","1,036.67","-","-0.17%"
"May 01, 2012","1,045.57","1,040.32","1,053.74","1,038.79","-","0.50%"
"Apr 30, 2012","1,040.32","1,045.19","1,045.19","1,037.74","-","-0.47%"
"Apr 27, 2012","1,045.19","1,041.91","1,047.33","1,039.40","-","0.32%"
"Apr 26, 2012","1,041.90","1,034.74","1,043.49","1,032.43","-","0.69%"
"Apr 25, 2012","1,034.74","1,020.13","1,035.09","1,020.13","-","1.43%"
"Apr 24, 2012","1,020.13","1,016.43","1,022.86","1,016.11","-","0.36%"
"Apr 23, 2012","1,016.43","1,025.86","1,025.86","1,009.77","-","-0.92%"
"Apr 20, 2012","1,025.86","1,024.42","1,032.59","1,024.42","-","0.14%"
"Apr 19, 2012","1,024.42","1,030.00","1,034.95","1,019.45","-","-0.54%"
"Apr 18, 2012","1,030.00","1,034.44","1,034.44","1,028.44","-","-0.43%"
"Apr 17, 2012","1,034.44","1,018.75","1,036.54","1,018.75","-","1.54%"
"Apr 16, 2012","1,018.75","1,019.31","1,026.30","1,015.11","-","-0.05%"
"Apr 13, 2012","1,019.31","1,032.21","1,032.21","1,019.08","-","-1.25%"
"Apr 12, 2012","1,032.21","1,017.60","1,032.79","1,017.60","-","1.44%"
"Apr 11, 2012","1,017.60","1,009.07","1,021.54","1,009.07","-","0.85%"
"Apr 10, 2012","1,009.07","1,027.95","1,028.56","1,008.38","-","-1.84%"
"Apr 09, 2012","1,027.95","1,040.34","1,040.34","1,024.91","-","-1.19%"
"Apr 05, 2012","1,040.34","1,041.29","1,043.24","1,037.08","-","-0.09%"
"Apr 04, 2012","1,041.29","1,053.10","1,053.10","1,037.64","-","-1.12%"
"Apr 03, 2012","1,053.10","1,056.91","1,057.22","1,046.76","-","-0.36%"
"Apr 02, 2012","1,056.91","1,048.91","1,059.41","1,045.70","-","0.76%"
"Mar 30, 2012","1,048.91","1,045.73","1,051.17","1,043.79","-","0.30%"
"Mar 29, 2012","1,045.73","1,047.44","1,047.44","1,036.42","-","-0.16%"
"Mar 28, 2012","1,047.44","1,053.03","1,053.89","1,041.01","-","-0.53%"
"Mar 27, 2012","1,053.03","1,056.62","1,058.53","1,052.69","-","-0.34%"
"Mar 26, 2012","1,056.62","1,041.82","1,056.65","1,041.82","-","1.42%"
"Mar 23, 2012","1,041.82","1,037.75","1,043.10","1,032.97","-","0.39%"
"Mar 22, 2012","1,037.75","1,045.90","1,045.90","1,034.45","-","-0.78%"
"Mar 21, 2012","1,045.90","1,047.34","1,049.30","1,044.01","-","-0.14%"
"Mar 20, 2012","1,047.34","1,051.52","1,051.52","1,041.92","-","-0.40%"
"Mar 19, 2012","1,051.52","1,047.13","1,055.14","1,045.61","-","0.42%"
"Mar 16, 2012","1,047.13","1,046.12","1,048.37","1,044.84","-","0.10%"
"Mar 15, 2012","1,046.12","1,039.30","1,046.15","1,038.06","-","0.66%"
"Mar 14, 2012","1,039.30","1,041.79","1,043.92","1,036.23","-","-0.24%"
"Mar 13, 2012","1,041.79","1,022.98","1,041.85","1,022.98","-","1.84%"
"Mar 12, 2012","1,022.98","1,023.68","1,025.34","1,019.96","-","-0.07%"
"Mar 09, 2012","1,023.68","1,018.90","1,026.65","1,018.90","-","0.47%"
"Mar 08, 2012","1,018.90","1,010.43","1,020.79","1,010.43","-","1.03%"
"Mar 07, 2012","1,008.50","1,000.94","1,010.02","1,000.94","-","0.76%"
"Mar 06, 2012","1,000.94","1,017.37","1,017.37","998.43","-","-1.61%"
"Mar 05, 2012","1,017.37","1,021.37","1,021.37","1,013.24","-","-0.39%"
"Mar 02, 2012","1,021.37","1,025.97","1,026.66","1,018.84","-","-0.45%"
"Mar 01, 2012","1,025.97","1,019.47","1,028.21","1,019.47","-","0.64%"
"Feb 29, 2012","1,019.47","1,025.24","1,030.00","1,018.39","-","-0.56%"
"Feb 28, 2012","1,025.24","1,022.78","1,026.79","1,021.27","-","0.24%"
"Feb 27, 2012","1,022.78","1,021.59","1,025.91","1,012.58","-","0.12%"
"Feb 24, 2012","1,021.59","1,020.25","1,024.32","1,020.04","-","0.13%"
"Feb 23, 2012","1,020.25","1,014.55","1,020.76","1,010.64","-","0.56%"
"Feb 22, 2012","1,014.55","1,018.39","1,018.85","1,012.97","-","-0.38%"
"Feb 21, 2012","1,018.39","1,018.98","1,023.08","1,015.29","-","-0.06%"
"Feb 17, 2012","1,018.98","1,017.36","1,021.21","1,016.33","-","0.16%"
"Feb 16, 2012","1,017.36","1,005.10","1,017.94","1,004.14","-","1.22%"
"Feb 15, 2012","1,005.11","1,010.31","1,014.74","1,003.21","-","-0.51%"
"Feb 14, 2012","1,010.31","1,011.71","1,011.71","1,003.34","-","-0.14%"
"Feb 13, 2012","1,011.71","1,004.25","1,012.69","1,004.25","-","0.74%"
"Feb 10, 2012","1,004.25","1,012.02","1,012.02","1,000.69","-","-0.77%"
"Feb 09, 2012","1,012.02","1,010.74","1,013.58","1,006.22","-","0.13%"
"Feb 08, 2012","1,010.74","1,008.57","1,012.08","1,004.52","-","0.22%"
"Feb 07, 2012","1,008.57","1,006.97","1,010.13","1,000.68","-","0.16%"
"Feb 06, 2012","1,006.97","1,007.43","1,007.43","1,001.89","-","-0.05%"
"Feb 03, 2012","1,007.43","992.06","1,007.69","992.06","-","1.55%"
"Feb 02, 2012","992.06","990.47","994.94","989.00","-","0.16%"
"Feb 01, 2012","990.46","980.02","994.63","980.02","-","1.07%"
"Jan 31, 2012","980.01","980.50","986.95","975.76","-","-0.05%"
"Jan 30, 2012","980.50","983.78","983.78","971.56","-","-0.33%"
"Jan 27, 2012","983.78","983.72","986.27","980.19","-","0.01%"
"Jan 26, 2012","983.73","989.31","995.07","980.16","-","-0.56%"
"Jan 25, 2012","989.31","980.17","990.82","975.36","-","0.93%"
"Jan 24, 2012","980.17","980.08","980.28","972.47","-","0.01%"
"Jan 23, 2012","980.08","979.79","985.22","975.32","-","0.03%"
"Jan 20, 2012","979.79","979.29","979.79","975.46","-","0.05%"
