"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2014","302.43","304.77","305.12","298.83","-","-0.86%"
"Oct 14, 2014","305.04","305.71","306.84","303.70","-","-0.10%"
"Oct 13, 2014","305.35","307.66","308.92","305.35","-","-0.71%"
"Oct 10, 2014","307.53","312.35","312.35","307.46","-","-1.64%"
"Oct 09, 2014","312.67","316.48","317.90","312.38","-","-1.01%"
"Oct 08, 2014","315.85","314.57","316.69","311.96","-","0.47%"
"Oct 07, 2014","314.37","318.07","318.09","314.37","-","-0.97%"
"Oct 06, 2014","317.44","316.31","318.87","316.29","-","0.36%"
"Oct 03, 2014","316.30","315.14","316.62","314.55","-","0.42%"
"Oct 02, 2014","314.99","317.16","317.25","313.07","-","-0.62%"
"Oct 01, 2014","316.94","320.43","320.44","316.59","-","-1.09%"
"Sep 30, 2014","320.44","321.37","321.69","319.82","-","-0.29%"
"Sep 29, 2014","321.36","322.58","322.75","319.94","-","-0.44%"
"Sep 26, 2014","322.78","322.14","322.99","321.08","-","0.20%"
"Sep 25, 2014","322.15","325.66","326.08","322.00","-","-1.12%"
"Sep 24, 2014","325.80","324.48","325.94","323.56","-","0.39%"
"Sep 23, 2014","324.55","326.64","326.84","324.46","-","-0.60%"
"Sep 22, 2014","326.51","329.37","329.50","326.29","-","-0.87%"
"Sep 19, 2014","329.38","329.98","330.96","329.05","-","-0.17%"
"Sep 18, 2014","329.95","327.84","329.97","327.80","-","0.31%"
"Sep 17, 2014","328.94","328.45","329.50","327.75","-","0.22%"
"Sep 16, 2014","328.21","327.44","328.98","326.44","-","0.24%"
"Sep 15, 2014","327.43","328.25","328.26","327.05","-","-0.23%"
"Sep 12, 2014","328.19","329.58","329.68","327.79","-","-0.47%"
"Sep 11, 2014","329.74","329.79","329.99","328.47","-","0.01%"
"Sep 10, 2014","329.72","329.75","329.83","328.46","-","-0.00%"
"Sep 09, 2014","329.73","331.25","331.41","329.25","-","-0.65%"
"Sep 08, 2014","331.90","332.75","332.92","330.81","-","-0.32%"
"Sep 05, 2014","332.98","332.33","332.98","331.42","-","0.07%"
"Sep 04, 2014","332.75","333.52","334.32","332.07","-","-0.20%"
"Sep 03, 2014","333.42","332.24","334.36","332.16","-","0.36%"
"Sep 02, 2014","332.23","332.35","332.70","331.54","-","-0.06%"
"Sep 01, 2014","332.44","332.10","332.60","332.04","-","0.02%"
"Aug 29, 2014","332.39","331.71","332.39","331.15","-","0.23%"
"Aug 28, 2014","331.64","332.96","333.08","331.08","-","-0.39%"
"Aug 27, 2014","332.93","332.28","333.10","332.27","-","0.14%"
"Aug 26, 2014","332.46","331.55","332.84","331.49","-","0.23%"
"Aug 25, 2014","331.71","329.88","331.99","329.87","-","0.48%"
"Aug 22, 2014","330.13","330.93","331.21","329.55","-","-0.27%"
"Aug 21, 2014","331.02","329.75","331.13","329.50","-","0.27%"
"Aug 20, 2014","330.13","329.97","330.13","329.05","-","0.03%"
"Aug 19, 2014","330.03","328.48","330.03","328.46","-","0.47%"
"Aug 18, 2014","328.50","326.30","328.52","326.27","-","0.72%"
"Aug 15, 2014","326.16","326.25","327.85","325.00","-","-0.05%"
"Aug 14, 2014","326.32","324.97","326.28","324.87","-","0.39%"
"Aug 13, 2014","325.05","323.29","325.20","323.19","-","0.55%"
"Aug 12, 2014","323.28","323.55","323.99","322.83","-","-0.09%"
"Aug 11, 2014","323.56","320.95","324.30","320.92","-","0.78%"
"Aug 08, 2014","321.04","320.30","321.05","318.44","-","0.22%"
"Aug 07, 2014","320.34","322.10","322.72","319.90","-","-0.47%"
"Aug 06, 2014","321.85","322.96","322.98","320.63","-","-0.34%"
"Aug 05, 2014","322.95","325.17","325.24","322.42","-","-0.67%"
"Aug 04, 2014","325.12","323.92","325.46","323.45","-","0.32%"
"Aug 01, 2014","324.08","325.72","325.77","323.12","-","-0.50%"
"Jul 31, 2014","325.72","330.50","330.70","325.69","-","-1.43%"
"Jul 30, 2014","330.45","331.11","331.65","329.74","-","-0.21%"
"Jul 29, 2014","331.16","331.78","332.69","331.08","-","-0.20%"
"Jul 28, 2014","331.82","331.82","332.17","330.53","-","-0.02%"
"Jul 25, 2014","331.87","333.20","333.48","331.36","-","-0.41%"
"Jul 24, 2014","333.22","332.78","333.53","332.46","-","0.13%"
"Jul 23, 2014","332.80","332.19","333.02","332.16","-","0.20%"
"Jul 22, 2014","332.15","330.02","332.42","329.99","-","0.66%"
"Jul 21, 2014","329.97","330.79","331.04","329.16","-","-0.20%"
"Jul 18, 2014","330.63","329.09","330.92","328.21","-","0.46%"
"Jul 17, 2014","329.10","331.89","332.17","328.89","-","-0.85%"
"Jul 16, 2014","331.92","330.33","332.20","330.17","-","0.48%"
"Jul 15, 2014","330.33","331.22","331.89","329.65","-","-0.27%"
"Jul 14, 2014","331.21","329.27","331.55","329.25","-","0.60%"
"Jul 11, 2014","329.24","329.29","329.47","328.37","-","0.00%"
"Jul 10, 2014","329.23","331.18","331.37","327.91","-","-0.57%"
"Jul 09, 2014","331.13","330.62","331.31","329.83","-","0.16%"
"Jul 08, 2014","330.60","332.85","332.88","330.08","-","-0.67%"
"Jul 07, 2014","332.84","334.37","334.38","332.62","-","-0.47%"
"Jul 04, 2014","334.40","334.49","334.82","334.40","-","-0.01%"
"Jul 03, 2014","334.45","333.18","334.52","332.94","-","0.37%"
"Jul 02, 2014","333.21","332.72","333.55","332.72","-","0.17%"
"Jul 01, 2014","332.66","330.67","333.24","330.65","-","0.59%"
"Jun 30, 2014","330.70","329.98","330.90","329.94","-","0.24%"
"Jun 27, 2014","329.92","329.47","330.04","329.00","-","0.19%"
"Jun 26, 2014","329.31","329.24","329.87","327.91","-","0.03%"
"Jun 25, 2014","329.21","329.36","329.37","328.11","-","-0.03%"
"Jun 24, 2014","329.31","330.61","331.13","329.20","-","-0.37%"
"Jun 23, 2014","330.52","330.90","331.31","330.20","-","-0.07%"
"Jun 20, 2014","330.76","330.94","331.04","330.54","-","-0.11%"
"Jun 19, 2014","331.13","329.54","331.42","329.53","-","0.60%"
"Jun 18, 2014","329.15","327.60","329.59","327.54","-","0.46%"
"Jun 17, 2014","327.64","327.32","327.73","326.58","-","0.09%"
"Jun 16, 2014","327.33","327.55","327.79","326.74","-","-0.04%"
"Jun 13, 2014","327.47","327.61","327.71","326.49","-","0.01%"
"Jun 12, 2014","327.45","328.39","328.49","327.16","-","-0.29%"
"Jun 11, 2014","328.41","329.18","329.37","328.02","-","-0.22%"
"Jun 10, 2014","329.12","329.03","329.25","328.30","-","0.03%"
"Jun 09, 2014","329.01","328.57","329.40","328.47","-","0.15%"
"Jun 06, 2014","328.53","326.93","328.60","326.91","-","0.59%"
"Jun 05, 2014","326.59","324.98","327.07","324.86","-","0.47%"
"Jun 04, 2014","325.06","324.80","325.06","323.96","-","0.07%"
"Jun 03, 2014","324.82","324.68","325.11","324.23","-","-0.02%"
"Jun 02, 2014","324.87","324.20","324.87","323.90","-","0.16%"
"May 30, 2014","324.34","324.32","324.58","323.74","-","-0.02%"
"May 29, 2014","324.41","323.26","324.41","323.15","-","0.36%"
"May 28, 2014","323.25","322.70","323.52","322.53","-","-0.01%"
"May 27, 2014","323.28","322.70","323.52","322.53","-","0.16%"
"May 26, 2014","322.76","321.83","322.78","321.81","-","0.27%"
"May 23, 2014","321.89","320.76","321.89","320.72","-","0.35%"
"May 22, 2014","320.77","319.53","321.05","319.47","-","0.45%"
"May 21, 2014","319.32","317.84","319.55","317.59","-","0.45%"
"May 20, 2014","317.89","319.21","319.41","317.50","-","-0.47%"
"May 19, 2014","319.39","318.78","319.45","318.03","-","0.19%"
"May 16, 2014","318.80","318.56","318.82","317.47","-","0.07%"
"May 15, 2014","318.59","320.69","320.95","317.64","-","-0.69%"
"May 14, 2014","320.81","321.09","321.68","320.64","-","-0.09%"
"May 13, 2014","321.10","320.44","321.67","320.42","-","0.20%"
"May 12, 2014","320.46","318.17","320.49","317.91","-","0.73%"
"May 09, 2014","318.13","318.61","318.79","317.06","-","-0.18%"
"May 08, 2014","318.70","318.13","320.10","318.11","-","0.15%"
"May 07, 2014","318.21","318.27","318.30","316.30","-","-0.05%"
"May 06, 2014","318.36","319.22","319.91","318.32","-","-0.29%"
"May 05, 2014","319.27","319.27","319.35","317.30","-","0.02%"
"May 02, 2014","319.22","319.09","320.07","318.58","-","0.04%"
"May 01, 2014","319.09","318.54","319.54","318.53","-","0.18%"
"Apr 30, 2014","318.51","317.66","318.71","317.07","-","0.24%"
"Apr 29, 2014","317.74","316.01","317.92","315.90","-","0.57%"
"Apr 28, 2014","315.93","315.83","316.97","314.37","-","0.00%"
"Apr 25, 2014","315.92","318.18","318.37","315.50","-","-0.69%"
